Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805,1,C,C45783
"C10, C11, C12, C13, C14, C7",C_0201,6,C,C76934
"C2, C3, C6",C_0402,3,C,C56392
C4,C_0402,1,C,
C5,C_0603,1,C,
C8,C_0201,1,C,C62164
C9,C_0805,1,C,C16780
D1,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
"D2, D3, D4, D5, D6",DFN1006-2L,5,~,C5137770
"J3, J4",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
J6,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L1,L_5x5,1,L,C307876
"Q1, Q2, Q3",SOT-363_SC-70-6,3,BSS138PS,C193381
"R1, R3",R_0201,2,R,C310173
"R10, R11",R_0201,2,5K1,C274341
"R12, R13",R_0201,2,1k,
R2,R_0402,1,R,
R4,R_0201,1,R,C320835
"R5, R6, R8, R9",R_0201,4,10R,
R7,R_0201,1,R,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1-N4R2,C3013941
U2,SOT-563,1,TPS562246,C41833479
"U4, U5",WCSP-4-0.78x0.78,2,TPS22916CNYFPR,C2655476
